#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_258	15890	3	N	N	1	*	*,258,*
contig_190	15749	3	N	N	1	*	*,190,*
contig_225	15565	3	N	N	1	*	*,225,*
contig_146	15362	3	N	N	1	*	*,146,*
contig_205	15270	3	N	N	1	*	*,205,*
contig_221	15235	3	N	N	1	*	*,221,*
contig_183	14150	3	N	N	1	*	*,183,*
contig_200	14131	3	N	N	1	*	*,200,*
contig_66	13601	3	N	N	1	*	*,66,*
contig_237	13412	4	N	N	1	*	*,237,*
contig_119	13215	4	N	N	1	*	*,119,*
contig_142	13182	7	N	N	1	*	*,142,*
contig_229	13168	3	N	N	1	*	*,229,*
contig_245	13136	4	N	N	1	*	*,245,*
contig_24	13098	3	N	N	1	*	*,24,*
contig_244	13082	6	N	N	1	*	*,244,*
contig_192	12990	4	N	N	1	*	*,192,*
contig_160	12857	3	N	N	1	*	*,160,*
contig_41	12769	13	N	N	1	*	*,41,*
contig_127	12209	4	N	N	1	*	*,127,*
contig_44	12170	5	N	N	1	*	*,44,*
contig_252	11623	4	N	N	1	*	*,252,*
contig_260	11441	3	N	N	1	*	*,260,*
contig_208	11389	4	N	N	1	*	*,208,*
contig_246	11247	3	N	N	1	*	*,246,*
contig_266	10984	4	N	N	1	*	*,266,*
contig_207	10971	3	N	N	1	*	*,207,*
contig_159	10839	5	N	N	1	*	*,159,*
contig_122	10754	3	N	N	1	*	*,122,*
contig_2	10710	3	N	N	1	*	*,2,*
contig_255	9594	3	N	N	1	*	*,255,*
contig_20	9410	3	N	N	1	*	*,20,*
contig_13	9231	4	N	N	1	*	*,13,*
contig_132	9118	355	Y	N	1	*	132
contig_278	8943	4	N	N	1	*	*,278,*
contig_259	8601	3	N	N	1	*	*,259,*
contig_218	8501	4	N	N	1	*	*,218,*
contig_10	8483	3	N	N	1	*	*,10,*
contig_172	8289	3	N	Y	1	10	*,172,*
contig_261	8281	4	N	N	1	*	*,261,*
contig_226	8216	4	N	N	1	*	*,226,*
contig_171	8157	1	N	Y	1	10	*,171,*
contig_223	8040	3	N	N	1	*	*,223,*
contig_161	7993	3	N	N	1	*	*,161,*
contig_39	7948	3	N	N	1	*	*,39,*
contig_213	7023	3	N	N	1	*	*,213,*
contig_82	7011	3	N	N	1	*	*,82,*
contig_61	6800	26	N	N	1	*	*,61,*
contig_264	6545	3	N	N	1	*	*,264,*
contig_243	6452	4	N	N	1	*	*,243,*
contig_241	6309	4	N	N	1	*	*,241,*
contig_181	6084	4	N	N	1	*	*,181,*
contig_28	6083	3	N	N	1	*	*,28,*
contig_45	6026	4	N	N	1	*	*,45,*
contig_96	5997	23	N	N	1	*	96,97,98,-97
contig_201	5830	4	N	N	1	*	*,201,*
contig_78	5632	50	N	Y	1	*	78
contig_203	4982	2	N	Y	1	8	*,203,*
contig_46	4931	4	N	N	1	*	*,46,*
contig_202	4843	1	N	Y	1	8	*,202,*
contig_173	4835	3	N	N	1	*	*,173,*
contig_206	4660	3	N	N	1	*	*,206,*
contig_123	3495	3	N	N	1	*	*,123,*
contig_69	1651	7	N	Y	1	6	*,69
contig_68	1414	2	N	Y	1	6	*,68,*
contig_70	1227	6	N	Y	1	6	70,*
contig_7	909	3830	N	Y	13	*	7
contig_6	884	19063	N	Y	63	*	6
contig_3	820	50409	N	Y	165	*	3
contig_8	675	162	N	Y	1	*	8
contig_4	602	12158	N	Y	40	*	4
contig_5	602	24414	N	Y	80	*	5
